dataset,label,probability
NIH internal test,Atelectasis,0.5862002968788147
NIH internal test,Atelectasis,0.1757497787475586
NIH internal test,Atelectasis,0.4138478338718414
NIH internal test,Atelectasis,0.7014113664627075
NIH internal test,Atelectasis,0.7091832160949707
NIH internal test,Atelectasis,0.6384692788124084
NIH internal test,Atelectasis,0.5473166704177856
NIH internal test,Atelectasis,0.2172363102436065
NIH internal test,Atelectasis,0.4260253608226776
NIH internal test,Atelectasis,0.6359667181968689
NIH internal test,Atelectasis,0.0350295342504978
NIH internal test,Atelectasis,0.3317295908927917
NIH internal test,Atelectasis,0.5882042646408081
NIH internal test,Atelectasis,0.1009610369801521
NIH internal test,Atelectasis,0.7829183340072632
NIH internal test,Atelectasis,0.0567467883229255
NIH internal test,Atelectasis,0.2510173320770263
NIH internal test,Atelectasis,0.6034278869628906
NIH internal test,Atelectasis,0.0547451712191104
NIH internal test,Atelectasis,0.8945226669311523
NIH internal test,Atelectasis,0.6125900745391846
NIH internal test,Atelectasis,0.5189173817634583
NIH internal test,Atelectasis,0.5426099300384521
NIH internal test,Atelectasis,0.5673102736473083
NIH internal test,Atelectasis,0.6877187490463257
NIH internal test,Atelectasis,0.3494682312011719
NIH internal test,Atelectasis,0.6577227711677551
NIH internal test,Atelectasis,0.3516072034835815
NIH internal test,Atelectasis,0.1755612343549728
NIH internal test,Atelectasis,0.2202198654413223
NIH internal test,Atelectasis,0.7324920892715454
NIH internal test,Atelectasis,0.441105306148529
NIH internal test,Atelectasis,0.5985662341117859
NIH internal test,Atelectasis,0.1965949237346649
NIH internal test,Atelectasis,0.214250236749649
NIH internal test,Atelectasis,0.1462790071964264
NIH internal test,Atelectasis,0.1165748164057731
NIH internal test,Atelectasis,0.6411463022232056
NIH internal test,Atelectasis,0.4691058099269867
NIH internal test,Atelectasis,0.0743128359317779
NIH internal test,Atelectasis,0.6132027506828308
NIH internal test,Atelectasis,0.3390093147754669
NIH internal test,Atelectasis,0.2112788259983062
NIH internal test,Atelectasis,0.6593320369720459
NIH internal test,Atelectasis,0.5551860332489014
NIH internal test,Atelectasis,0.4409651160240173
NIH internal test,Atelectasis,0.5816066265106201
NIH internal test,Atelectasis,0.2403516173362732
NIH internal test,Atelectasis,0.2549550831317901
NIH internal test,Atelectasis,0.2413212060928344
NIH internal test,Atelectasis,0.1952019929885864
NIH internal test,Atelectasis,0.1501485258340835
NIH internal test,Atelectasis,0.2757147252559662
NIH internal test,Atelectasis,0.3520371615886688
NIH internal test,Atelectasis,0.7362150549888611
NIH internal test,Atelectasis,0.2157835960388183
NIH internal test,Atelectasis,0.74164217710495
NIH internal test,Atelectasis,0.0721178874373436
NIH internal test,Atelectasis,0.3887173235416412
NIH internal test,Atelectasis,0.4685336649417877
NIH internal test,Atelectasis,0.4604875743389129
NIH internal test,Atelectasis,0.491016536951065
NIH internal test,Atelectasis,0.2357198596000671
NIH internal test,Atelectasis,0.0995242148637771
NIH internal test,Atelectasis,0.5248691439628601
NIH internal test,Atelectasis,0.5881878733634949
NIH internal test,Atelectasis,0.7161564230918884
NIH internal test,Atelectasis,0.3878810703754425
NIH internal test,Atelectasis,0.098997063934803
NIH internal test,Atelectasis,0.6829898357391357
NIH internal test,Atelectasis,0.8927198648452759
NIH internal test,Atelectasis,0.5406554937362671
NIH internal test,Atelectasis,0.5536896586418152
NIH internal test,Atelectasis,0.5443506836891174
NIH internal test,Atelectasis,0.3425456881523132
NIH internal test,Atelectasis,0.0521059222519397
NIH internal test,Atelectasis,0.315592497587204
NIH internal test,Atelectasis,0.291178286075592
NIH internal test,Atelectasis,0.1154612898826599
NIH internal test,Atelectasis,0.6193270683288574
NIH internal test,Atelectasis,0.41288822889328
NIH internal test,Atelectasis,0.5990235805511475
NIH internal test,Atelectasis,0.5327852368354797
NIH internal test,Atelectasis,0.3181176781654358
NIH internal test,Atelectasis,0.3744793832302093
NIH internal test,Atelectasis,0.7125517725944519
NIH internal test,Atelectasis,0.3350145816802978
NIH internal test,Atelectasis,0.4131698906421661
NIH internal test,Atelectasis,0.74427729845047
NIH internal test,Atelectasis,0.5344959497451782
NIH internal test,Atelectasis,0.3489935398101806
NIH internal test,Atelectasis,0.6274766325950623
NIH internal test,Atelectasis,0.623521625995636
NIH internal test,Atelectasis,0.8229348659515381
NIH internal test,Atelectasis,0.5523014664649963
NIH internal test,Atelectasis,0.0569989793002605
NIH internal test,Atelectasis,0.4168150126934051
NIH internal test,Atelectasis,0.4523749649524688
NIH internal test,Atelectasis,0.1688691526651382
NIH internal test,Atelectasis,0.6400002837181091
NIH internal test,Atelectasis,0.5182884335517883
NIH internal test,Atelectasis,0.3677027225494385
NIH internal test,Atelectasis,0.6524503827095032
NIH internal test,Atelectasis,0.6149084568023682
NIH internal test,Atelectasis,0.6380892992019653
NIH internal test,Atelectasis,0.6787697076797485
NIH internal test,Atelectasis,0.4051412343978882
NIH internal test,Atelectasis,0.4268947541713714
NIH internal test,Atelectasis,0.778014600276947
NIH internal test,Atelectasis,0.54909747838974
NIH internal test,Atelectasis,0.0994776487350463
NIH internal test,Atelectasis,0.2120822668075561
NIH internal test,Atelectasis,0.2715665996074676
NIH internal test,Atelectasis,0.6104202270507812
NIH internal test,Atelectasis,0.5457848906517029
NIH internal test,Atelectasis,0.0584200508892536
