dataset,label,curve,x,y,threshold
NIH internal test,Atelectasis,roc,0.0,0.0,inf
NIH internal test,Atelectasis,roc,0.0,0.011235955056179775,0.9162558317184448
NIH internal test,Atelectasis,roc,0.0015384615384615385,0.011235955056179775,0.8945226669311523
NIH internal test,Atelectasis,roc,0.0015384615384615385,0.033707865168539325,0.875495195388794
NIH internal test,Atelectasis,roc,0.016923076923076923,0.033707865168539325,0.8143251538276672
NIH internal test,Atelectasis,roc,0.016923076923076923,0.0449438202247191,0.8068970441818237
NIH internal test,Atelectasis,roc,0.023076923076923078,0.0449438202247191,0.7802092432975769
NIH internal test,Atelectasis,roc,0.023076923076923078,0.056179775280898875,0.778014600276947
NIH internal test,Atelectasis,roc,0.033846153846153845,0.056179775280898875,0.7623379230499268
NIH internal test,Atelectasis,roc,0.033846153846153845,0.06741573033707865,0.74427729845047
NIH internal test,Atelectasis,roc,0.036923076923076927,0.06741573033707865,0.74164217710495
NIH internal test,Atelectasis,roc,0.036923076923076927,0.07865168539325842,0.7401145696640015
NIH internal test,Atelectasis,roc,0.038461538461538464,0.07865168539325842,0.738924503326416
NIH internal test,Atelectasis,roc,0.038461538461538464,0.0898876404494382,0.7378283143043518
NIH internal test,Atelectasis,roc,0.04,0.0898876404494382,0.7362150549888611
NIH internal test,Atelectasis,roc,0.04,0.10112359550561797,0.7338926196098328
NIH internal test,Atelectasis,roc,0.05692307692307692,0.10112359550561797,0.7161564230918884
NIH internal test,Atelectasis,roc,0.05692307692307692,0.11235955056179775,0.7151724100112915
NIH internal test,Atelectasis,roc,0.06769230769230769,0.11235955056179775,0.7085468769073486
NIH internal test,Atelectasis,roc,0.06769230769230769,0.12359550561797752,0.7063530087471008
NIH internal test,Atelectasis,roc,0.07076923076923076,0.12359550561797752,0.7054733037948608
NIH internal test,Atelectasis,roc,0.07076923076923076,0.1348314606741573,0.7050255537033081
NIH internal test,Atelectasis,roc,0.07384615384615385,0.1348314606741573,0.7025598287582397
NIH internal test,Atelectasis,roc,0.07384615384615385,0.14606741573033707,0.7014113664627075
