model,label,internal_auroc_95ci,external_auroc_95ci,internal_auprc_95ci,external_auprc_95ci,internal_f1_95ci,external_f1_95ci
EfficientNet-B0,Atelectasis,0.660 (0.600-0.722),0.612 (0.566-0.657),0.225 (0.165-0.314),0.175 (0.145-0.220),0.254 (0.183-0.331),0.121 (0.057-0.193)
EfficientNet-B0,Cardiomegaly,0.655 (0.539-0.771),0.585 (0.548-0.620),0.087 (0.041-0.208),0.353 (0.312-0.408),0.108 (0.000-0.257),0.102 (0.063-0.154)
EfficientNet-B0,Pleural Effusion,0.737 (0.681-0.780),0.779 (0.745-0.808),0.356 (0.268-0.460),0.651 (0.597-0.703),0.376 (0.314-0.441),0.589 (0.535-0.634)
EfficientNet-B0,Pneumothorax,0.692 (0.601-0.782),0.603 (0.533-0.663),0.190 (0.104-0.356),0.091 (0.063-0.148),0.187 (0.108-0.284),0.139 (0.070-0.199)
EfficientNet-B0,Consolidation,0.592 (0.512-0.674),0.594 (0.551-0.640),0.072 (0.050-0.111),0.245 (0.203-0.308),0.123 (0.057-0.197),0.065 (0.022-0.125)
EfficientNet-B0,Edema,0.740 (0.604-0.863),NA,0.085 (0.030-0.219),NA,0.118 (0.000-0.259),0.000 (0.000-0.000)
EfficientNet-B0,Pneumonia,0.468 (0.313-0.637),NA,0.030 (0.015-0.066),NA,0.000 (0.000-0.000),0.000 (0.000-0.000)
EfficientNet-B0,No Finding,0.706 (0.664-0.749),0.766 (0.737-0.794),0.696 (0.635-0.753),0.707 (0.666-0.751),0.694 (0.650-0.732),0.652 (0.618-0.682)


