dataset,average,label,metric,ci_lower,ci_upper,n_bootstrap
NIH_internal_test,label,Atelectasis,auroc,0.6155509470782798,0.743115633543906,500
NIH_internal_test,label,Atelectasis,auprc,0.1687366450526628,0.3063960831976323,500
NIH_internal_test,label,Atelectasis,sensitivity,0.16860362799512463,0.3602718566573943,500
NIH_internal_test,label,Atelectasis,specificity,0.8532335844645048,0.9117069125011948,500
NIH_internal_test,label,Atelectasis,f1,0.1657115302886649,0.3315227346589044,500
NIH_internal_test,label,Atelectasis,accuracy,0.7739909537892442,0.8398265971316807,500
NIH_internal_test,label,Atelectasis,ppv,0.1522722567287769,0.3217916041978978,500
NIH_internal_test,label,Atelectasis,npv,0.867700789634411,0.920730505386902,500
NIH_internal_test,label,Cardiomegaly,auroc,0.5595691494437537,0.7713017513376222,500
NIH_internal_test,label,Cardiomegaly,auprc,0.0432073272278304,0.24043802714998572,500
NIH_internal_test,label,Cardiomegaly,sensitivity,0.09518649193548086,0.3820954907161585,500
NIH_internal_test,label,Cardiomegaly,specificity,0.9363488879948264,0.9678275939177088,500
NIH_internal_test,label,Cardiomegaly,f1,0.0727272727272714,0.2903225806451566,500
NIH_internal_test,label,Cardiomegaly,accuracy,0.9062621871796638,0.9454819517945919,500
NIH_internal_test,label,Cardiomegaly,ppv,0.05630952380952223,0.26256265664159734,500
NIH_internal_test,label,Cardiomegaly,npv,0.957110668301654,0.9834840848806352,500
NIH_internal_test,label,Consolidation,auroc,0.5324203519242161,0.6945842787879958,500
NIH_internal_test,label,Consolidation,auprc,0.053476415756475625,0.12715600199422458,500
NIH_internal_test,label,Consolidation,sensitivity,0.38191489361701264,0.6931935817805225,500
NIH_internal_test,label,Consolidation,specificity,0.639622647354008,0.7288409090909079,500
NIH_internal_test,label,Consolidation,f1,0.09855292450920829,0.21435953648606249,500
NIH_internal_test,label,Consolidation,accuracy,0.6337776632377768,0.7209147395544527,500
NIH_internal_test,label,Consolidation,ppv,0.05603448275862045,0.13070652173912992,500
NIH_internal_test,label,Consolidation,npv,0.9436588537998495,0.9767094411909977,500
NIH_internal_test,label,Edema,auroc,0.6891500474833808,0.8778030426939477,500
NIH_internal_test,label,Edema,auprc,0.027732448730222303,0.12219649328759384,500
NIH_internal_test,label,Edema,sensitivity,0.2751262626262423,0.7692307692307101,500
NIH_internal_test,label,Edema,specificity,0.8446930406881851,0.9107384036629687,500
NIH_internal_test,label,Edema,f1,0.05794117647058768,0.23585561497325994,500
NIH_internal_test,label,Edema,accuracy,0.8378134040501435,0.9047702025494928,500
NIH_internal_test,label,Edema,ppv,0.030927835051546074,0.14068478260869416,500
NIH_internal_test,label,Edema,npv,0.9811741518292127,0.9955025759292211,500
NIH_internal_test,label,No Finding,auroc,0.6296316430220458,0.7233547468704996,500
NIH_internal_test,label,No Finding,auprc,0.6011913334349326,0.7259232781255752,500
NIH_internal_test,label,No Finding,sensitivity,0.7146505376344067,0.8195176948005369,500
NIH_internal_test,label,No Finding,specificity,0.4055555555555544,0.5212208666831197,500
NIH_internal_test,label,No Finding,f1,0.6231356874087755,0.7124476405523914,500
NIH_internal_test,label,No Finding,accuracy,0.5779808301552947,0.6585735794074784,500
