dataset,method,average,label,brier,ece,mce,slope,intercept
NIH_internal_test,uncalibrated,label,Atelectasis,0.21597231118950205,0.30691790834815325,0.6401625076929729,0.6856489830893535,-1.893241795997519
NIH_internal_test,uncalibrated,label,Cardiomegaly,0.22518705734193142,0.3769662469746456,0.6614609162012737,0.5948390393089815,-3.222996370626383
NIH_internal_test,uncalibrated,label,Pleural Effusion,0.23388524499363325,0.29665516770201583,0.4900401545422418,0.6337335008915681,-1.75621485279531
NIH_internal_test,uncalibrated,label,Pneumothorax,0.19915718691339127,0.33400040135135384,0.5888914418847937,0.513180239612456,-2.6312899658934628
NIH_internal_test,uncalibrated,label,Consolidation,0.2664476795281436,0.37011925702163484,0.7520160873730977,0.27200846796047007,-2.7696838686513896
NIH_internal_test,uncalibrated,label,Edema,0.12160083579283827,0.2389239134775482,0.6932486171523731,0.8606786502033666,-3.2730011926528393
NIH_internal_test,uncalibrated,label,Pneumonia,0.036376824981810295,0.09966582359294926,0.31701200306415556,0.743906972261669,-2.278621943852544
NIH_internal_test,uncalibrated,label,No Finding,0.24325198195283607,0.12599769464526353,0.16927010752260685,0.7574681442219661,-0.45172094175508215
NIH_internal_test,uncalibrated,macro,macro,0.19273489033676078,0.26865580163919556,0.5390127294291894,0.6326829996937289,-2.284596366528066
NIH_internal_test,uncalibrated,micro,micro,0.19273489033676078,0.26862747140635335,0.49260096938283615,0.8556871906745337,-1.9048081974287108
NIH_internal_test,temperature,label,Atelectasis,0.21395042317183416,0.31686984850832967,0.6452475980296688,0.8915235885781383,-1.8931119159715446
NIH_internal_test,temperature,label,Cardiomegaly,0.21682944837304688,0.38577195709425977,0.6064324270405238,0.7709390159605083,-3.222539088291561
NIH_internal_test,temperature,label,Pleural Effusion,0.2249082943901361,0.3014050248919452,0.46929385461447704,0.8244479521140285,-1.7556907368515948
NIH_internal_test,temperature,label,Pneumothorax,0.1980606129959383,0.34837144923328234,0.5822301829511003,0.6662714098833542,-2.631819434080642
NIH_internal_test,temperature,label,Consolidation,0.24724183154438933,0.3734781881829612,0.7352097910141597,0.3528678460425421,-2.76944623253511
NIH_internal_test,temperature,label,Edema,0.12406101052648,0.2646206587417292,0.7177960066169083,1.1178628773444261,-3.2732044599042287
NIH_internal_test,temperature,label,Pneumonia,0.04947072327335014,0.15057914675812004,0.27274539756911376,0.9598588920075874,-2.2916288431847693
NIH_internal_test,temperature,label,No Finding,0.2378820546554383,0.10282961707060186,0.4196350383253221,0.9848643589684268,-0.4513437262437898
NIH_internal_test,temperature,macro,macro,0.18905054986632666,0.28049073631015364,0.5560737870201593,0.8210794926123764,-2.286098054632905
NIH_internal_test,temperature,micro,micro,0.18905054986632666,0.2803609507601748,0.44669667417594855,1.1124988801219677,-1.9045261848887505
NIH_internal_test,platt,label,Atelectasis,0.10263798693602387,0.03296189639611536,0.48512504188801087,0.9773928343107549,-0.309706315871255
NIH_internal_test,platt,label,Cardiomegaly,0.03368480451946073,0.0051664347417364025,0.0051664347417364025,2.59022203640868,5.547131253862003
NIH_internal_test,platt,label,Pleural Effusion,0.11674902928873113,0.03760253540472932,0.2952659115086931,0.9794751622097331,-0.23965508676237135
NIH_internal_test,platt,label,Pneumothorax,0.05461757958050532,0.05423857900110099,0.21620151270838306,1.0885044136481439,-0.47556576698667635
NIH_internal_test,platt,label,Consolidation,0.052380968682635524,0.01904220987418834,0.039074637286293123,0.8944600394609789,-0.5754022481313448
NIH_internal_test,platt,label,Edema,0.020306371441064352,0.01886578745023259,0.20235660990052462,0.9669332508951377,-0.789791196218961
NIH_internal_test,platt,label,Pneumonia,0.02249698677188606,0.0030176015095988995,0.0030176015095988995,0.902346551306835,-0.23283766648557377
NIH_internal_test,platt,label,No Finding,0.23111767126773086,0.05581975739049044,0.9077654904646062,0.8059629469049726,0.1889163151781273
NIH_internal_test,platt,macro,macro,0.07924892481100473,0.028339350221024042,0.2692466550009808,1.1506621543931543,0.3891361610729935
NIH_internal_test,platt,micro,micro,0.07924892481100472,0.017984603081234195,0.9077654904646062,1.1014658189510562,0.02051865336921736
NIH_internal_test,isotonic,label,Atelectasis,0.10490048364923454,0.04068451483776447,0.3333333333333333,0.22189207960309013,-1.4864006615868766
NIH_internal_test,isotonic,label,Cardiomegaly,0.03347279184829869,0.004753636745720412,0.01904761904761905,0.5482709360666397,-1.3189483812083893
NIH_internal_test,isotonic,label,Pleural Effusion,0.117902355355513,0.03376949406458777,0.42857142857142844,0.602266836447569,-0.7601893244682644
NIH_internal_test,isotonic,label,Pneumothorax,0.05560496854669262,0.04728940161896188,0.11288048749870078,0.25160333705761456,-2.2084653483726235
NIH_internal_test,isotonic,label,Consolidation,0.05405996917388257,0.020928465708307937,0.16153846153846158,0.043342801797020596,-2.686143213911621
NIH_internal_test,isotonic,label,Edema,0.021695495987721598,0.01989165003340418,0.2317250793598527,0.7266269690760854,-1.4397512955031104
NIH_internal_test,isotonic,label,Pneumonia,0.022487646480422216,0.003387788216008252,0.003387788216008252,0.623864934814831,-1.2776228227309379
NIH_internal_test,isotonic,label,No Finding,0.23737969470765047,0.07487972310507937,1.0,0.22567413974263398,0.06783013742693288
NIH_internal_test,isotonic,macro,macro,0.08093792571867697,0.030698084291229284,0.28631052469567553,0.40544275432568555,-1.388711363794361
NIH_internal_test,isotonic,micro,micro,0.08093792571867696,0.018937564702016307,0.16547517007730095,0.8200278399161552,-0.3782761254842468
VinDr_external,uncalibrated,label,Atelectasis,0.22886406682633076,0.30013517633453013,0.9064258933067322,0.39344324598568525,-1.815094758680826
VinDr_external,uncalibrated,label,Cardiomegaly,0.1962760376403711,0.181811884380877,0.23854725346678785,1.2120852317047075,-1.0062139664374141
VinDr_external,uncalibrated,label,Pleural Effusion,0.1705591175869078,0.12774119918700305,0.2174630886630008,1.2007540975628943,-0.7263727412130031
VinDr_external,uncalibrated,label,Pneumothorax,0.21828849497759648,0.3640643946910277,0.8239637116591135,0.6382208120187218,-2.673471744902462
VinDr_external,uncalibrated,label,Consolidation,0.1599538364420227,0.1603681873125024,0.30973223357830404,0.8944561983942632,-1.06291321716492
VinDr_external,uncalibrated,label,Edema,0.015016654431856248,0.08998542899359015,0.6921690106391907,,
VinDr_external,uncalibrated,label,Pneumonia,0.0070764929979379885,0.07410023895371701,0.2209527662822178,,
VinDr_external,uncalibrated,label,No Finding,0.2616146948483296,0.27762332233786585,0.46003622180078085,2.431325512490145,-2.6639131148525466
VinDr_external,uncalibrated,macro,macro,0.1572061744689191,0.19697872902388916,0.483661272424516,1.1283808496927363,-1.657996590541862
VinDr_external,uncalibrated,micro,micro,0.15720617446891907,0.19689098413224562,0.34183828387149545,1.1919363224842885,-1.4392972239172932
VinDr_external,temperature,label,Atelectasis,0.22529263407742772,0.31222349505528985,0.7026431430537974,0.5119510671307814,-1.8150201233229397
VinDr_external,temperature,label,Cardiomegaly,0.19834684028629831,0.18725196584291554,0.2538732949344519,1.5760610646976334,-1.0061796221150265
VinDr_external,temperature,label,Pleural Effusion,0.17519013789104132,0.14535826957856637,0.20738092121754154,1.5617493241365659,-0.7265046461039092
VinDr_external,temperature,label,Pneumothorax,0.21527359416953096,0.3744292701110787,0.8034297494645602,0.8298749821988045,-2.6731759238049446
VinDr_external,temperature,label,Consolidation,0.16541096949385783,0.1854683050714615,0.2381099287108246,1.1624546670088491,-1.062388738760557
VinDr_external,temperature,label,Edema,0.02551644446553223,0.1346157625881702,0.6509299239347901,,
VinDr_external,temperature,label,Pneumonia,0.017044483654355333,0.1219235607219433,0.3128939562923486,,
VinDr_external,temperature,label,No Finding,0.2495603477075603,0.2502400012059902,0.4448789803036873,3.154896620118983,-2.658457429110579
VinDr_external,temperature,macro,macro,0.1589544314682005,0.21393882877192696,0.4517674872390002,1.4661646208819363,-1.6569544138696592
VinDr_external,temperature,micro,micro,0.1589544314682005,0.2122497084120146,0.3279438537126017,1.5509007575201519,-1.4387621013588714
VinDr_external,platt,label,Atelectasis,0.11709121937251747,0.06249262766930408,0.2891268792987134,0.5642645534240543,-0.8997715921522154
VinDr_external,platt,label,Cardiomegaly,0.2566364482949598,0.24412409543328073,0.24412409543328073,5.277441127958017,16.86011542323604
VinDr_external,platt,label,Pleural Effusion,0.18611903391871273,0.12811692571432906,0.4852165566946119,1.8547371354427924,2.144228024835374
VinDr_external,platt,label,Pneumothorax,0.05738302962102472,0.05065090636913067,0.1026976169971493,1.3863487257597757,0.07573208372799706
VinDr_external,platt,label,Consolidation,0.15184033909101174,0.11027866782659526,0.34058758075879436,2.947107130281033,6.166747066371295
VinDr_external,platt,label,Edema,0.00022142175888635607,0.01018521922954205,0.1363846272302097,,
VinDr_external,platt,label,Pneumonia,0.0004142553140990267,0.02034890298015173,0.02034890298015173,,
VinDr_external,platt,label,No Finding,0.18768050343827417,0.16202366311337815,0.27309875326638433,2.586704544385341,-0.6073401621859891
VinDr_external,platt,macro,macro,0.11967328135118577,0.09852762604196397,0.23644812658241196,2.4361005362085026,3.9566184739720835
VinDr_external,platt,micro,micro,0.11967328135118575,0.05855788357770456,0.13686037633998654,0.7032946499840345,-0.11296169533115327
VinDr_external,isotonic,label,Atelectasis,0.12066375452024085,0.05219044187454189,0.6666666666666667,0.3131528345550319,-1.2908917392770127
VinDr_external,isotonic,label,Cardiomegaly,0.24811756176617222,0.24039438651525413,0.5572727272727273,1.2626597860902466,3.3652336705079944
