dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper
VinDr_external,label,Atelectasis,1000,131,0.6123033406828943,0.17527565401409523,0.08396946564885432,0.9539700805523579,0.12087912087912021,0.8399999999999992,0.21568627450979969,0.8735511064278179,11,40,829,120,0.5662773331470322,0.6573547188110115,0.14469466805613096,0.2198057739289339,0.038155594405594115,0.1374045801526707,0.9415625224879454,0.9680296277353585,0.05729885057471232,0.19274316109422387,0.8164749999999992,0.8629999999999991,0.11111111111110905,0.33931883594498913,0.8517139630005872,0.8961127126283821
VinDr_external,label,Cardiomegaly,1000,276,0.5854051565377532,0.3528424393568167,0.05797101449275341,0.9682320441988936,0.10158730158730125,0.7169999999999993,0.4102564102563997,0.7294484911550461,16,23,701,260,0.5480821064314794,0.6201558671181175,0.311526089352696,0.4079048634479874,0.035128537881596714,0.0905660377358487,0.9552118469765515,0.9804506804877416,0.06315531944638593,0.15410586198367499,0.6914749999999993,0.7440499999999992,0.26743902439023615,0.5714285714285579,0.701554404145077,0.7559907407407399
VinDr_external,label,Pleural Effusion,1000,288,0.7788262718476904,0.6508094761130068,0.5868055555555535,0.8356741573033696,0.5888501742160268,0.7639999999999992,0.5909090909090888,0.8333333333333321,169,117,595,119,0.7449638791719694,0.8082977347108408,0.5968545176288398,0.7026664618782862,0.5285120220733132,0.6427718555355845,0.8085007365607833,0.8651842148871184,0.5354474408365428,0.633865283762567,0.7384749999999992,0.7899999999999991,0.5357722212728541,0.6504763335942717,0.8039072513567307,0.8590775986083762
VinDr_external,label,Pneumothorax,1000,59,0.6026585493254561,0.09146872510373952,0.20338983050847112,0.8916046758767259,0.13872832369942117,0.8509999999999991,0.10526315789473592,0.9469525959367935,12,102,839,47,0.5328882978723405,0.6631540459771714,0.06312719951673341,0.14775294542151746,0.10318204868153995,0.2945647969052164,0.8708205448402485,0.9112032965441316,0.06993470720261127,0.19895275006184443,0.8284749999999992,0.8719999999999991,0.051844464365754774,0.15463917525773038,0.9322882400543153,0.9603237500241018
VinDr_external,label,Consolidation,1000,175,0.5935445887445887,0.24473559727125888,0.03428571428571409,0.9951515151515139,0.06486486486486452,0.8269999999999992,0.59999999999994,0.8292929292929284,6,4,821,169,0.5505321195681061,0.6398637753515386,0.20292580746432612,0.3075937481955157,0.011233153426127513,0.06705699005314036,0.9903141695064295,0.9999999999999988,0.021795557139462938,0.12466454802259815,0.8049999999999992,0.8475249999999991,0.2788961038960715,0.9999999999995,0.8068208317139518,0.850305140464709
VinDr_external,label,Edema,1000,0,,,0.0,0.994999999999999,0.0,0.994999999999999,0.0,0.999999999999999,0,5,995,0,,,,,0.0,0.0,0.990999999999999,0.998999999999999,0.0,0.0,0.990999999999999,0.998999999999999,0.0,0.0,0.999999999999999,0.999999999999999
VinDr_external,label,Pneumonia,1000,0,,,0.0,0.982999999999999,0.0,0.982999999999999,0.0,0.999999999999999,0,17,983,0,,,,,0.0,0.0,0.975474999999999,0.991524999999999,0.0,0.0,0.975474999999999,0.991524999999999,0.0,0.0,0.999999999999999,0.999999999999999
VinDr_external,label,No Finding,1000,414,0.7658900924964138,0.7074463015893129,0.942028985507244,0.33105802047781513,0.6521739130434777,0.5839999999999994,0.49872122762148274,0.8899082568807298,390,392,194,24,0.7372052139660296,0.7939332805057346,0.6662978240782453,0.7507407903309179,0.9192678340741368,0.9645979020978998,0.2924913194444439,0.36783718060394827,0.6184087967813213,0.6824295718605756,0.5529999999999994,0.6119999999999993,0.4618107978977538,0.5342448757818401,0.8520811215887053,0.930695637238058
VinDr_external,macro,macro,1000,1343,0.6564379999391328,0.3704296989080384,0.2385563207498238,0.8692113116950843,0.20838546228627647,0.8201249999999992,0.3026045201489309,0.8878108391283307,,,,,0.6320988555762251,0.6802969480016903,0.35376925043059526,0.3962860539110431,0.21959512182887905,0.2558173266019249,0.8636258209154988,0.8752996605394,0.18982023215506083,0.22406581349624155,0.8103749999999992,0.8307499999999992,0.2592723325355418,0.34971946782465435,0.8794826023720073,0.8966131170385007
VinDr_external,micro,micro,8000,1343,0.7499355450362072,0.4361709515850701,0.4497393894266564,0.8948475289169294,0.45636569701548907,0.8201249999999999,0.4631901840490794,0.8896356033452807,604,700,5957,739,0.7344923109267351,0.7661466147240437,0.4091131349185575,0.4639933545179511,0.42197615791530135,0.47643290061775806,0.8881388592289077,0.9021236130496626,0.43169252120531443,0.48106662948126344,0.810375,0.8307499999999999,0.43917509673687366,0.4894125691043604,0.881658430668348,0.8969945956642028


