pointing_game_hit,heatmap_box_overlap,image_id,label,case_type,panel_path
1.0,0.1673473264317599,1fce42f55a0de66eb161fc831cd33cc3.png,Atelectasis,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Atelectasis\true_positive\1fce42f55a0de66eb161fc831cd33cc3.png_Atelectasis_true_positive.png
,,d92309c6e0911811e2ba3c122cd31090.png,Atelectasis,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Atelectasis\false_positive\d92309c6e0911811e2ba3c122cd31090.png_Atelectasis_false_positive.png
0.0,0.06974890394579514,43e96bafa84091eec856901f949efa05.png,Atelectasis,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Atelectasis\false_negative\43e96bafa84091eec856901f949efa05.png_Atelectasis_false_negative.png
,,c0a4e84d80638eb1eba04543a589eb8b.png,Atelectasis,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Atelectasis\true_negative\c0a4e84d80638eb1eba04543a589eb8b.png_Atelectasis_true_negative.png
0.0,0.21537777777777778,6c6443feb73c8113601be5a01242447d.png,Cardiomegaly,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Cardiomegaly\true_positive\6c6443feb73c8113601be5a01242447d.png_Cardiomegaly_true_positive.png
,,7ea9c57f097d01834f29fa3d5c2849fa.png,Cardiomegaly,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Cardiomegaly\false_positive\7ea9c57f097d01834f29fa3d5c2849fa.png_Cardiomegaly_false_positive.png
0.0,0.06419882865295089,b9f09915187c2cc01e958da90d97ac89.png,Cardiomegaly,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Cardiomegaly\false_negative\b9f09915187c2cc01e958da90d97ac89.png_Cardiomegaly_false_negative.png
,,fa1d691e369b258e948303634d83b2f6.png,Cardiomegaly,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Cardiomegaly\true_negative\fa1d691e369b258e948303634d83b2f6.png_Cardiomegaly_true_negative.png
1.0,0.3057321795668595,4ccc63ecf9efef91deef0f5849e3ad34.png,Pleural Effusion,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pleural_Effusion\true_positive\4ccc63ecf9efef91deef0f5849e3ad34.png_Pleural_Effusion_true_positive.png
,,969d075666dedd66f4c1c6ad0b1e7052.png,Pleural Effusion,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pleural_Effusion\false_positive\969d075666dedd66f4c1c6ad0b1e7052.png_Pleural_Effusion_false_positive.png
0.0,0.0,bd3fe876153eeddad8bab49b129ea081.png,Pleural Effusion,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pleural_Effusion\false_negative\bd3fe876153eeddad8bab49b129ea081.png_Pleural_Effusion_false_negative.png
,,1f1cb91f0f44ecb45aec9994caf2938a.png,Pleural Effusion,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pleural_Effusion\true_negative\1f1cb91f0f44ecb45aec9994caf2938a.png_Pleural_Effusion_true_negative.png
0.0,0.0,3479c81736f275a848b74d952ebfab29.png,Pneumothorax,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumothorax\true_positive\3479c81736f275a848b74d952ebfab29.png_Pneumothorax_true_positive.png
,,4ccc63ecf9efef91deef0f5849e3ad34.png,Pneumothorax,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumothorax\false_positive\4ccc63ecf9efef91deef0f5849e3ad34.png_Pneumothorax_false_positive.png
1.0,0.21553341148886285,69a3e19744062d97e679adf184b667c2.png,Pneumothorax,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumothorax\false_negative\69a3e19744062d97e679adf184b667c2.png_Pneumothorax_false_negative.png
,,ed73ad56c0e1f66d3acf2f9479615b99.png,Pneumothorax,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumothorax\true_negative\ed73ad56c0e1f66d3acf2f9479615b99.png_Pneumothorax_true_negative.png
0.0,0.09188811188811188,6fb55d54b54b05b50913b456d1b5d0cc.png,Consolidation,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Consolidation\true_positive\6fb55d54b54b05b50913b456d1b5d0cc.png_Consolidation_true_positive.png
,,129a1e7753432edd052a2cdbfbaee00e.png,Consolidation,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Consolidation\false_positive\129a1e7753432edd052a2cdbfbaee00e.png_Consolidation_false_positive.png
0.0,0.0,c65efe41cef6390d70796a2947dbcc91.png,Consolidation,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Consolidation\false_negative\c65efe41cef6390d70796a2947dbcc91.png_Consolidation_false_negative.png
,,1f1cb91f0f44ecb45aec9994caf2938a.png,Consolidation,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Consolidation\true_negative\1f1cb91f0f44ecb45aec9994caf2938a.png_Consolidation_true_negative.png
,,129a1e7753432edd052a2cdbfbaee00e.png,Edema,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Edema\false_positive\129a1e7753432edd052a2cdbfbaee00e.png_Edema_false_positive.png
,,fa1d691e369b258e948303634d83b2f6.png,Edema,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Edema\true_negative\fa1d691e369b258e948303634d83b2f6.png_Edema_true_negative.png
,,8b1beee6ae2a00d5a98483e50c7ac0f2.png,Pneumonia,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumonia\false_positive\8b1beee6ae2a00d5a98483e50c7ac0f2.png_Pneumonia_false_positive.png
,,fa1d691e369b258e948303634d83b2f6.png,Pneumonia,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\Pneumonia\true_negative\fa1d691e369b258e948303634d83b2f6.png_Pneumonia_true_negative.png
,,ed73ad56c0e1f66d3acf2f9479615b99.png,No Finding,true_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\No_Finding\true_positive\ed73ad56c0e1f66d3acf2f9479615b99.png_No_Finding_true_positive.png
,,c65efe41cef6390d70796a2947dbcc91.png,No Finding,false_positive,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\No_Finding\false_positive\c65efe41cef6390d70796a2947dbcc91.png_No_Finding_false_positive.png
,,1ba651ae8bc6ee9f54a09088442b930c.png,No Finding,false_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\No_Finding\false_negative\1ba651ae8bc6ee9f54a09088442b930c.png_No_Finding_false_negative.png
1.0,0.3471320346320346,4ccc63ecf9efef91deef0f5849e3ad34.png,No Finding,true_negative,<PROJECT_ROOT>\figures_large\gradcam\hf_large_efficientnet_b0\VinDr_external\No_Finding\true_negative\4ccc63ecf9efef91deef0f5849e3ad34.png_No_Finding_true_negative.png


