average,label,internal_auroc,internal_auprc,internal_sensitivity,internal_specificity,internal_f1,internal_accuracy,internal_ppv,internal_npv,external_auroc,external_auprc,external_sensitivity,external_specificity,external_f1,external_accuracy,external_ppv,external_npv
label,Atelectasis,0.6791184096802073,0.2224595346524928,0.2584269662921319,0.8846153846153832,0.2459893048128329,0.8092016238159664,0.234693877551018,0.897035881435256,0.6172401373870113,0.15650374595658806,0.12977099236641124,0.8365937859608736,0.11724137931034441,0.7439999999999992,0.10691823899371003,0.8644470868014258
label,Cardiomegaly,0.6753155680224403,0.1185064147652075,0.2307692307692219,0.9523141654978948,0.181818181818179,0.9269282814614332,0.1499999999999962,0.9713876967095836,0.7795960445191769,0.5647945308858178,0.23913043478260781,0.9558011049723744,0.35294117647058726,0.7579999999999992,0.6734693877550952,0.7671840354767175
label,Pleural Effusion,0.7093199359254405,0.3352985689436172,0.6697247706421957,0.6111111111111102,0.3419203747072591,0.6197564276048706,0.2295597484276722,0.9144893111638932,0.8106419709737829,0.6374110488760347,0.6631944444444421,0.8103932584269651,0.6221498371335494,0.7679999999999992,0.5858895705521454,0.8560830860534112
label,Pneumothorax,0.6462389833982374,0.1981846917833322,0.3809523809523719,0.856527977044475,0.2025316455696189,0.8294993234100124,0.1379310344827574,0.9582664526484737,0.6566220573137125,0.0915800322038093,0.35593220338982445,0.7821466524973424,0.14736842105263104,0.7569999999999992,0.09292035398230047,0.9509043927648566
label,Consolidation,0.6176532252428543,0.0758888840793174,0.5365853658536455,0.6833810888252139,0.1549295774647881,0.675236806495263,0.0905349794238679,0.9616935483870948,0.7447411255411256,0.37411563268169584,0.19428571428571317,0.9515151515151503,0.27309236947791055,0.8189999999999992,0.45945945945945327,0.847732181425485
label,Edema,0.7938305709023941,0.0590740987421784,0.5333333333332978,0.8784530386740319,0.1441441441441428,0.8714479025710408,0.0833333333333324,0.9891135303265924,,,0.0,0.998999999999999,0.0,0.998999999999999,0.0,0.999999999999999
label,Pneumonia,0.64469610558905,0.0369883678314365,0.235294117647045,0.8421052631578936,0.0592592592592588,0.8281461434370759,0.0338983050847454,0.9790660225442818,,,0.0,0.991999999999999,0.0,0.991999999999999,0.0,0.999999999999999
label,No Finding,0.676007326007326,0.6616926651728678,0.7679999999999979,0.4642857142857129,0.6713286713286706,0.6184032476319342,0.5962732919254645,0.6601562499999973,0.8464287480832962,0.7815746977728902,0.9879227053140072,0.20136518771331022,0.6336173508907819,0.5269999999999995,0.46636259977194927,0.9593495934959272
macro,macro,0.6802725155959937,0.2135116532463062,0.4516357706862384,0.7715992179014645,0.2502401448880938,0.7723274695534497,0.1945280712786067,0.9164010866518966,0.7425450139696842,0.434329948062806,0.32127956182287576,0.8161018926357517,0.26830131679197555,0.7954999999999992,0.2981274513143317,0.9057125470022276
micro,micro,0.7719813589152476,0.3460360215542478,0.6162464985994389,0.7937668333974605,0.3953279424977536,0.7723274695534504,0.2910052910052908,0.9377272727272724,0.8390595626502807,0.5288568518145502,0.5495160089352192,0.8451254318762204,0.47429305912596387,0.7954999999999999,0.4171848501978517,0.9029048306852832


