average,label,internal_auroc,internal_auprc,internal_sensitivity,internal_specificity,internal_f1,internal_accuracy,internal_ppv,internal_npv,external_auroc,external_auprc,external_sensitivity,external_specificity,external_f1,external_accuracy,external_ppv,external_npv
label,Atelectasis,0.6676231633535005,0.2145864020596515,0.4831460674157249,0.7646153846153834,0.3017543859649112,0.7307171853856553,0.2193877551020397,0.9152854511970516,0.7014028584228603,0.23274223729489737,0.32061068702289836,0.8481012658227838,0.27540983606557284,0.7789999999999992,0.2413793103448262,0.8922518159806284
label,Cardiomegaly,0.6087495954256122,0.0967198717738555,0.3076923076922959,0.8359046283309945,0.1059602649006615,0.8173207036535848,0.0639999999999994,0.9706840390879464,0.6205711025702618,0.40099959128816226,0.37318840579710005,0.7955801104972364,0.3908918406072099,0.6789999999999993,0.41035856573705015,0.7690253671562072
label,Pleural Effusion,0.7123489151012087,0.3780913192816534,0.633027522935774,0.7063492063492052,0.3801652892561973,0.6955345060893089,0.2716535433070856,0.9175257731958744,0.800283824906367,0.6670184289583508,0.7916666666666639,0.6839887640449428,0.6153846153846145,0.7149999999999993,0.5033112582781446,0.8903107861060312
label,Pneumothorax,0.6593564254970281,0.0974514128764063,0.3571428571428486,0.8163558106169285,0.1621621621621612,0.7902571041948568,0.1048951048951041,0.9546979865771796,0.6626740395180029,0.08812141155668869,0.2711864406779615,0.8204038257173211,0.131147540983606,0.7879999999999991,0.08648648648648602,0.9472392638036798
label,Consolidation,0.5853658536585366,0.0672227237686663,0.4146341463414533,0.7349570200573056,0.1399176954732504,0.7171853856562913,0.0841584158415837,0.9553072625698306,0.7641419913419913,0.37470685665927606,0.3314285714285695,0.909090909090908,0.37662337662337536,0.8079999999999992,0.43609022556390653,0.8650519031141858
label,Edema,0.7139042357274402,0.052040606750311,0.1999999999999866,0.948895027624308,0.1090909090909071,0.933694181326115,0.0749999999999981,0.9828326180257496,,,0.0,0.993999999999999,0.0,0.993999999999999,0.0,0.999999999999999
label,Pneumonia,0.543343653250774,0.0249655085082893,0.235294117647045,0.7257617728531846,0.0365296803652966,0.7144790257104185,0.0198019801980197,0.9757914338919907,,,0.0,0.8949999999999991,0.0,0.8949999999999991,0.0,0.9999999999999989
label,No Finding,0.6842783882783883,0.6721351474023666,0.7066666666666648,0.5604395604395589,0.6624999999999992,0.634641407307171,0.6235294117647043,0.6496815286624182,0.8189642380175101,0.7465312029815581,0.8405797101449255,0.6262798634812276,0.7094801223241582,0.7149999999999993,0.6137566137566126,0.8475750577367186
macro,macro,0.6468712787865611,0.20040162405265,0.4172004607302241,0.7616598013608585,0.237260048401673,0.7542286874154251,0.1828032763885668,0.9152257616510052,0.7280063424628321,0.4183532881231555,0.3660825602172648,0.8215555923318023,0.3123671664985671,0.7966249999999993,0.28642280752087823,0.9014317742371811
micro,micro,0.8087828436491951,0.349397262073637,0.5938375350140047,0.7762601000384762,0.3685354193828768,0.7542286874154261,0.2671707624448644,0.9329479768786124,0.7781553543032035,0.47657540654115416,0.5919583023082646,0.8379149767162384,0.49424930059061223,0.7966249999999999,0.42422625400213426,0.9105452171074109


