dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper
NIH_internal_test,label,Atelectasis,739,89,0.6676231633535005,0.2145864020596515,0.4831460674157249,0.7646153846153834,0.3017543859649112,0.7307171853856553,0.2193877551020397,0.9152854511970517,43,153,497,46,0.6012534749296423,0.734929315052907,0.16126528644133847,0.30613565701757134,0.3769725557461364,0.5990686274509723,0.725088740115024,0.8045720486111098,0.22998996380888567,0.37568557315619006,0.6935484648881041,0.7702510001765006,0.16080873043278,0.28759181384917143,0.8882681564245793,0.940395198153817
NIH_internal_test,label,Cardiomegaly,739,26,0.6087495954256122,0.09671987177385555,0.3076923076922959,0.8359046283309945,0.10596026490066156,0.8173207036535848,0.06399999999999949,0.9706840390879463,8,117,596,18,0.4793994737521467,0.739079410743366,0.03715733230928626,0.22731474428389095,0.11111111111110591,0.49999999999998,0.8018134341390849,0.8678372363461372,0.02962028094819996,0.18847078402366746,0.7822689087090516,0.8506508264462798,0.01793022881082807,0.11835062966417816,0.9544636601352103,0.9839139158576036
NIH_internal_test,label,Pleural Effusion,739,109,0.7123489151012087,0.3780913192816534,0.633027522935774,0.7063492063492052,0.3801652892561973,0.6955345060893089,0.2716535433070856,0.9175257731958744,69,185,445,40,0.6586724229022335,0.7647886115805118,0.28974216208556225,0.4682270276322102,0.5341371829105426,0.7192036071273298,0.6614277317186532,0.7458131623206322,0.3076923076923068,0.447775884704458,0.6522444895037265,0.731042730496453,0.20964587300273121,0.3376151315789459,0.8901735459662269,0.9420301332818214
NIH_internal_test,label,Pneumothorax,739,42,0.6593564254970281,0.09745141287640637,0.3571428571428486,0.8163558106169285,0.16216216216216128,0.7902571041948568,0.10489510489510416,0.9546979865771795,15,128,569,27,0.5611751333335854,0.7432988654960215,0.06307328359935283,0.16613485598662098,0.20493697478991088,0.49999999999998834,0.7792485667485656,0.8488451494587022,0.08745897796530654,0.24500300120047896,0.7537643085938459,0.8231299604491269,0.056391980917764234,0.16840735600277465,0.9382801536919463,0.9706633392935065
NIH_internal_test,label,Consolidation,739,41,0.5853658536585366,0.06722272376866638,0.4146341463414533,0.7349570200573056,0.13991769547325045,0.7171853856562913,0.08415841584158375,0.9553072625698306,17,185,513,24,0.5014951484568629,0.6674647091527215,0.048563772009629746,0.10175286734027007,0.28947368421051867,0.5749999999999856,0.6926295124461546,0.7794499720803713,0.08527914166212003,0.20903897849462277,0.6745920190589627,0.7594825987431237,0.049720516454101485,0.1301369147157184,0.9356885946622168,0.9726323676323658
NIH_internal_test,label,Edema,739,15,0.7139042357274402,0.052040606750311004,0.19999999999998666,0.948895027624308,0.1090909090909071,0.933694181326115,0.07499999999999812,0.9828326180257496,3,37,687,12,0.5746072698881272,0.8354489114716427,0.021365746637565304,0.1176637100047581,0.0,0.43325892857139947,0.9256017967362027,0.967521815909272,0.0,0.24257142857142433,0.9090797139141731,0.9540359311740878,0.0,0.1835858585858523,0.9741455334055475,0.9927909406578769
NIH_internal_test,label,Pneumonia,739,17,0.543343653250774,0.02496550850828932,0.235294117647045,0.7257617728531846,0.036529680365296635,0.7144790257104185,0.019801980198019705,0.9757914338919907,4,198,524,13,0.4369224792817679,0.6498787580791486,0.014519884767835953,0.044265917488298515,0.049999999999997505,0.45605769230766274,0.6837666047844856,0.7650345699154798,0.008349895397489504,0.07162087912087879,0.6734181301652883,0.7530930921939086,0.004443544563843217,0.03978756784260495,0.9613147657318722,0.9871683133380362
NIH_internal_test,label,No Finding,739,375,0.6842783882783883,0.6721351474023666,0.7066666666666648,0.5604395604395589,0.6624999999999992,0.634641407307171,0.6235294117647043,0.6496815286624182,265,160,204,110,0.6367130678536373,0.7337593565606992,0.6060946360667867,0.7291352846668464,0.6466934231881994,0.7588987087411135,0.501427888270347,0.6229130057871166,0.6110118800939348,0.7027060661939754,0.5952846364883394,0.6721956038463277,0.5639463977631017,0.6698998829039796,0.5838015262588612,0.7169060309939764
NIH_internal_test,macro,macro,739,714,0.6468712787865611,0.20040162405265,0.41720046073022415,0.7616598013608585,0.23726004840167308,0.7542286874154251,0.18280327638856686,0.9152257616510051,,,,,0.6077416832838939,0.683635660405843,0.18370732411244156,0.23488817381116,0.35812493726173866,0.4728050741896278,0.7445672775722345,0.7763435463884278,0.20878413560613918,0.26563565100132325,0.7322493243872882,0.7719151499774459,0.1636276131251571,0.20440405644920134,0.905874219012997,0.9243709128847172
NIH_internal_test,micro,micro,5912,714,0.8087828436491951,0.349397262073637,0.5938375350140047,0.7762601000384762,0.36853541938287687,0.7542286874154261,0.2671707624448644,0.9329479768786125,424,1163,4035,290,0.7792896101188554,0.8318967361621706,0.3065993380151773,0.3941609769400778,0.5446721906585016,0.6335671106928247,0.7571725069389372,0.7937543540996875,0.3307837669981908,0.39945722224018626,0.7322493243872891,0.7719151499774469,0.23807975864193584,0.2937472271494893,0.9235292127565723,0.9402689138576777


