model,dataset,label,n,positives,auprc,auprc_baseline_prevalence,auprc_absolute_gain,auprc_lift_over_prevalence,status
DenseNet121,NIH internal test,Atelectasis,739,89,0.2224595346524928,0.12043301759133965,0.10202651706115315,1.8471640012156425,evaluable
DenseNet121,NIH internal test,Cardiomegaly,739,26,0.1185064147652075,0.035182679296346414,0.08332373546886108,3.3683169427495514,evaluable
DenseNet121,NIH internal test,Pleural Effusion,739,109,0.3352985689436172,0.14749661705006767,0.18780195189354953,2.273262774764524,evaluable
DenseNet121,NIH internal test,Pneumothorax,739,42,0.1981846917833322,0.056833558863328824,0.14135113292000337,3.487106838759107,evaluable
DenseNet121,NIH internal test,Consolidation,739,41,0.0758888840793174,0.05548037889039242,0.02040850518892498,1.3678508618198917,evaluable
DenseNet121,NIH internal test,Edema,739,15,0.0590740987421784,0.02029769959404601,0.03877639914813239,2.9103839313646556,evaluable
DenseNet121,NIH internal test,Pneumonia,739,17,0.0369883678314365,0.023004059539918808,0.01398430829151769,1.6079061074959748,evaluable
DenseNet121,NIH internal test,No Finding,739,375,0.6616926651728678,0.5074424898511503,0.1542501753217176,1.303975678833998,evaluable
DenseNet121,VinDr external,Atelectasis,1000,131,0.156503745956588,0.131,0.025503745956587998,1.1946850836380762,evaluable
DenseNet121,VinDr external,Cardiomegaly,1000,276,0.5647945308858178,0.276,0.28879453088581775,2.046356995963108,evaluable
DenseNet121,VinDr external,Pleural Effusion,1000,288,0.6374110488760347,0.288,0.34941104887603475,2.213232808597343,evaluable
DenseNet121,VinDr external,Pneumothorax,1000,59,0.0915800322038093,0.059,0.0325800322038093,1.5522039356577848,evaluable
DenseNet121,VinDr external,Consolidation,1000,175,0.3741156326816958,0.175,0.1991156326816958,2.137803615323976,evaluable
DenseNet121,VinDr external,Edema,1000,0,,0.0,,,not evaluable
DenseNet121,VinDr external,Pneumonia,1000,0,,0.0,,,not evaluable
DenseNet121,VinDr external,No Finding,1000,414,0.7815746977728902,0.414,0.36757469777289026,1.8878615888234065,evaluable
ResNet50,NIH internal test,Atelectasis,739,89,0.2145864020596515,0.12043301759133965,0.09415338446831184,1.7817904620458702,evaluable
ResNet50,NIH internal test,Cardiomegaly,739,26,0.0967198717738555,0.035182679296346414,0.06153719247750909,2.7490763554184316,evaluable
ResNet50,NIH internal test,Pleural Effusion,739,109,0.3780913192816534,0.14749661705006767,0.23059470223158574,2.5633897701756134,evaluable
ResNet50,NIH internal test,Pneumothorax,739,42,0.0974514128764063,0.056833558863328824,0.04061785401307747,1.7146808122777202,evaluable
ResNet50,NIH internal test,Consolidation,739,41,0.0672227237686663,0.05548037889039242,0.011742344878273872,1.2116486064644973,evaluable
ResNet50,NIH internal test,Edema,739,15,0.052040606750311,0.02029769959404601,0.03174290715626499,2.563867225898655,evaluable
ResNet50,NIH internal test,Pneumonia,739,17,0.0249655085082893,0.023004059539918808,0.0019614489683704925,1.0852653404485761,evaluable
ResNet50,NIH internal test,No Finding,739,375,0.6721351474023666,0.5074424898511503,0.16469265755121631,1.3245543304809302,evaluable
ResNet50,VinDr external,Atelectasis,1000,131,0.2327422372948973,0.131,0.10174223729489729,1.7766582999610478,evaluable
ResNet50,VinDr external,Cardiomegaly,1000,276,0.4009995912881622,0.276,0.12499959128816218,1.4528970698846455,evaluable
ResNet50,VinDr external,Pleural Effusion,1000,288,0.6670184289583508,0.288,0.37901842895835086,2.3160362116609408,evaluable
ResNet50,VinDr external,Pneumothorax,1000,59,0.0881214115566886,0.059,0.029121411556688598,1.4935832467235355,evaluable
ResNet50,VinDr external,Consolidation,1000,175,0.374706856659276,0.175,0.199706856659276,2.1411820380530058,evaluable
ResNet50,VinDr external,Edema,1000,0,,0.0,,,not evaluable
ResNet50,VinDr external,Pneumonia,1000,0,,0.0,,,not evaluable
ResNet50,VinDr external,No Finding,1000,414,0.7465312029815581,0.414,0.3325312029815581,1.8032154661390292,evaluable
EfficientNet-B0,NIH internal test,Atelectasis,739,89,0.2245329688221944,0.12043301759133965,0.10409995123085475,1.8643804939281086,evaluable
EfficientNet-B0,NIH internal test,Cardiomegaly,739,26,0.0874080683572656,0.035182679296346414,0.05222538906091918,2.484406250616126,evaluable
EfficientNet-B0,NIH internal test,Pleural Effusion,739,109,0.355945168025759,0.14749661705006767,0.20844855097569132,2.413242928174641,evaluable
EfficientNet-B0,NIH internal test,Pneumothorax,739,42,0.189653929541064,0.056833558863328824,0.13282037067773517,3.337006045972531,evaluable
EfficientNet-B0,NIH internal test,Consolidation,739,41,0.0720171805297582,0.05548037889039242,0.016536801639365772,1.2980657661339343,evaluable
EfficientNet-B0,NIH internal test,Edema,739,15,0.0849404504919995,0.02029769959404601,0.06464275089795349,4.184732860905842,evaluable
EfficientNet-B0,NIH internal test,Pneumonia,739,17,0.0299297888686717,0.023004059539918808,0.0069257293287528915,1.3010655278793168,evaluable
EfficientNet-B0,NIH internal test,No Finding,739,375,0.6961336604718585,0.5074424898511503,0.18869117062070828,1.3718474002365424,evaluable
EfficientNet-B0,VinDr external,Atelectasis,1000,131,0.1752756540140952,0.131,0.044275654014095195,1.3379820917106504,evaluable
EfficientNet-B0,VinDr external,Cardiomegaly,1000,276,0.3528424393568167,0.276,0.07684243935681667,1.278414635350785,evaluable
EfficientNet-B0,VinDr external,Pleural Effusion,1000,288,0.6508094761130068,0.288,0.3628094761130068,2.2597551253923847,evaluable
EfficientNet-B0,VinDr external,Pneumothorax,1000,59,0.0914687251037395,0.059,0.03246872510373951,1.5503173746396526,evaluable
EfficientNet-B0,VinDr external,Consolidation,1000,175,0.2447355972712588,0.175,0.0697355972712588,1.398489127264336,evaluable
EfficientNet-B0,VinDr external,Edema,1000,0,,0.0,,,not evaluable
EfficientNet-B0,VinDr external,Pneumonia,1000,0,,0.0,,,not evaluable
EfficientNet-B0,VinDr external,No Finding,1000,414,0.7074463015893129,0.414,0.2934463015893129,1.7088074917616254,evaluable


