label,validation_threshold,internal_prevalence,external_prevalence,internal_AUROC_95CI,external_AUROC_95CI,internal_AUPRC_95CI,external_AUPRC_95CI,external_status
Atelectasis,0.66,0.1204330175913396,0.131,0.679 (0.616-0.743),0.617 (0.577-0.658),0.222 (0.169-0.306),0.157 (0.132-0.194),evaluable
Cardiomegaly,0.75,0.0351826792963464,0.276,0.675 (0.560-0.771),0.780 (0.752-0.810),0.119 (0.043-0.240),0.565 (0.505-0.625),evaluable
Pleural Effusion,0.55,0.1474966170500676,0.288,0.709 (0.650-0.763),0.811 (0.779-0.838),0.335 (0.258-0.431),0.637 (0.580-0.692),evaluable
Pneumothorax,0.61,0.0568335588633288,0.059,0.646 (0.535-0.754),0.657 (0.598-0.718),0.198 (0.085-0.366),0.092 (0.066-0.135),evaluable
Consolidation,0.68,0.0554803788903924,0.175,0.618 (0.532-0.695),0.745 (0.710-0.778),0.076 (0.053-0.127),0.374 (0.321-0.450),evaluable
Edema,0.6,0.020297699594046,0.0,0.794 (0.689-0.878),,0.059 (0.028-0.122),,not evaluable for discrimination
Pneumonia,0.21,0.0230040595399188,0.0,0.645 (0.522-0.751),,0.037 (0.020-0.080),,not evaluable for discrimination
No Finding,0.52,0.5074424898511503,0.414,0.676 (0.630-0.723),0.846 (0.823-0.869),0.662 (0.601-0.726),0.782 (0.738-0.821),evaluable


