model,dataset_group,dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper,prevalence
DenseNet121,NIH internal test,NIH_internal_test,label,Atelectasis,739,89,0.6791184096802073,0.2224595346524928,0.2584269662921319,0.8846153846153832,0.2459893048128329,0.8092016238159664,0.234693877551018,0.897035881435256,23.0,75.0,575.0,66.0,0.6155509470782798,0.743115633543906,0.1687366450526628,0.3063960831976323,0.1686036279951246,0.3602718566573943,0.8532335844645048,0.9117069125011948,0.1657115302886649,0.3315227346589044,0.7739909537892442,0.8398265971316807,0.1522722567287769,0.3217916041978978,0.867700789634411,0.920730505386902,0.12043301759133965
DenseNet121,NIH internal test,NIH_internal_test,label,Cardiomegaly,739,26,0.6753155680224403,0.1185064147652075,0.2307692307692219,0.9523141654978948,0.181818181818179,0.9269282814614332,0.1499999999999962,0.9713876967095836,6.0,34.0,679.0,20.0,0.5595691494437537,0.7713017513376222,0.0432073272278304,0.2404380271499857,0.0951864919354808,0.3820954907161585,0.9363488879948264,0.9678275939177088,0.0727272727272714,0.2903225806451566,0.9062621871796638,0.945481951794592,0.0563095238095222,0.2625626566415973,0.957110668301654,0.9834840848806352,0.035182679296346414
DenseNet121,NIH internal test,NIH_internal_test,label,Pleural Effusion,739,109,0.7093199359254405,0.3352985689436172,0.6697247706421957,0.6111111111111102,0.3419203747072591,0.6197564276048706,0.2295597484276722,0.9144893111638932,73.0,245.0,385.0,36.0,0.6497728432301993,0.7634276101609512,0.2581391609476819,0.4310560570053725,0.5687128980032327,0.7612475247524684,0.561329407349061,0.6582317660274402,0.2779812007277131,0.4090423901940746,0.5752639004449581,0.6614231703008837,0.1794037940379398,0.2834090823811926,0.8840201657182766,0.9434042576899696,0.14749661705006767
DenseNet121,NIH internal test,NIH_internal_test,label,Pneumothorax,739,42,0.6462389833982374,0.1981846917833322,0.3809523809523719,0.856527977044475,0.2025316455696189,0.8294993234100124,0.1379310344827574,0.9582664526484737,16.0,100.0,597.0,26.0,0.5351381812790708,0.7541655292994993,0.084654874322593,0.365942828760448,0.2073863636363585,0.5584986320109291,0.8238515002542791,0.8851134193628863,0.1086283911154816,0.3100779921638185,0.7949874752113547,0.8593506629899705,0.0725806451612897,0.2201980615254931,0.9399350649350634,0.9741737453749528,0.056833558863328824
DenseNet121,NIH internal test,NIH_internal_test,label,Consolidation,739,41,0.6176532252428543,0.0758888840793174,0.5365853658536455,0.6833810888252139,0.1549295774647881,0.675236806495263,0.0905349794238679,0.9616935483870948,22.0,221.0,477.0,19.0,0.5324203519242161,0.6945842787879958,0.0534764157564756,0.1271560019942245,0.3819148936170126,0.6931935817805225,0.639622647354008,0.7288409090909079,0.0985529245092082,0.2143595364860624,0.6337776632377768,0.7209147395544527,0.0560344827586204,0.1307065217391299,0.9436588537998496,0.9767094411909976,0.05548037889039242
DenseNet121,NIH internal test,NIH_internal_test,label,Edema,739,15,0.7938305709023941,0.0590740987421784,0.5333333333332978,0.8784530386740319,0.1441441441441428,0.8714479025710408,0.0833333333333324,0.9891135303265924,8.0,88.0,636.0,7.0,0.6891500474833808,0.8778030426939477,0.0277324487302223,0.1221964932875938,0.2751262626262423,0.7692307692307101,0.8446930406881851,0.9107384036629688,0.0579411764705876,0.2358556149732599,0.8378134040501435,0.9047702025494928,0.030927835051546,0.1406847826086941,0.9811741518292127,0.9955025759292212,0.02029769959404601
DenseNet121,NIH internal test,NIH_internal_test,label,Pneumonia,739,17,0.64469610558905,0.0369883678314365,0.235294117647045,0.8421052631578936,0.0592592592592588,0.8281461434370759,0.0338983050847454,0.9790660225442818,4.0,114.0,608.0,13.0,0.5218554106459838,0.75090123439297,0.020402216365573,0.0797679904108544,0.0,0.4642307692307359,0.8077431969145049,0.8737152243299516,0.0,0.1255829204313601,0.7956774721410785,0.8594726011483941,0.0,0.0729600886917953,0.9672640094289066,0.9890477135131942,0.023004059539918808
DenseNet121,NIH internal test,NIH_internal_test,label,No Finding,739,375,0.676007326007326,0.6616926651728678,0.7679999999999979,0.4642857142857129,0.6713286713286706,0.6184032476319342,0.5962732919254645,0.6601562499999973,288.0,195.0,169.0,87.0,0.6296316430220458,0.7233547468704996,0.6011913334349326,0.7259232781255752,0.7146505376344067,0.8195176948005369,0.4055555555555544,0.5212208666831197,0.6231356874087755,0.7124476405523914,0.5779808301552947,0.6585735794074784,0.5427834567251669,0.646879329890413,0.5897543988269771,0.7271196002578953,0.5074424898511503
DenseNet121,VinDr-derived external,VinDr_external,label,Atelectasis,1000,131,0.6172401373870113,0.156503745956588,0.1297709923664112,0.8365937859608736,0.1172413793103444,0.7439999999999992,0.10691823899371,0.8644470868014258,17.0,142.0,727.0,114.0,0.5773540845488812,0.6577777400719754,0.1318701867892967,0.1941038975360554,0.077807049418604,0.186129807692306,0.810539823393796,0.8631578947368411,0.0705300485255689,0.1646336524300435,0.7184749999999993,0.7739999999999992,0.0632911392405059,0.1530859175228963,0.8407032102760009,0.8870457951589176,0.131
DenseNet121,VinDr-derived external,VinDr_external,label,Cardiomegaly,1000,276,0.7795960445191769,0.5647945308858178,0.2391304347826078,0.9558011049723744,0.3529411764705872,0.7579999999999992,0.6734693877550952,0.7671840354767175,66.0,32.0,692.0,210.0,0.7520036831645341,0.8100095179949997,0.5054944379787691,0.6248146974998733,0.1887856506238852,0.28836401587736,0.9410019532132038,0.9701218015615324,0.2872770965278705,0.4094336424983812,0.7349999999999992,0.7829999999999993,0.5791764705882296,0.7681665421956604,0.7425313463614867,0.7932185773096456,0.276
